timestamp,dpid,port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_mbps,tx_mbps
2025-12-14 18:59:37,1,1,8,65,716,5470,0.001,0.006
2025-12-14 18:59:37,1,2,47,23,3982,1918,0.004,0.002
2025-12-14 18:59:37,1,3,12,58,992,4908,0.001,0.005
2025-12-14 18:59:37,2,1,9,63,806,5314,0.001,0.005
2025-12-14 18:59:37,2,2,23,47,1918,3982,0.002,0.004
2025-12-14 18:59:37,2,3,35,35,2970,2930,0.003,0.003
2025-12-14 18:59:37,5,1,8,63,716,5318,0.001,0.006
2025-12-14 18:59:37,5,2,58,12,4908,992,0.005,0.001
2025-12-14 18:59:37,3,1,8,65,716,5454,0.001,0.006
2025-12-14 18:59:37,3,2,35,35,2930,2970,0.003,0.003
2025-12-14 18:59:37,3,3,24,47,2028,3942,0.002,0.004
2025-12-14 18:59:37,6,1,8,63,716,5298,0.001,0.006
2025-12-14 18:59:37,6,2,58,13,4868,1102,0.006,0.001
2025-12-14 18:59:37,4,1,8,64,716,5368,0.001,0.006
2025-12-14 18:59:37,4,2,47,24,3942,2028,0.004,0.002
2025-12-14 18:59:37,4,3,13,58,1102,4868,0.001,0.006
2025-12-14 18:59:38,1,1,8,66,716,5540,0.0,0.001
2025-12-14 18:59:38,1,2,48,23,4052,1918,0.001,0.0
2025-12-14 18:59:38,1,3,12,59,992,4978,0.0,0.001
2025-12-14 18:59:38,3,1,8,65,716,5454,0.0,0.0
2025-12-14 18:59:38,3,2,35,36,2930,3040,0.0,0.001
2025-12-14 18:59:38,3,3,24,47,2028,3942,0.0,0.0
2025-12-14 18:59:38,6,1,8,64,716,5368,0.0,0.001
2025-12-14 18:59:38,6,2,58,13,4868,1102,0.0,0.0
2025-12-14 18:59:38,5,1,8,64,716,5388,0.0,0.001
2025-12-14 18:59:38,5,2,59,12,4978,992,0.001,0.0
2025-12-14 18:59:38,2,1,9,65,806,5454,0.0,0.001
2025-12-14 18:59:38,2,2,23,48,1918,4052,0.0,0.001
2025-12-14 18:59:38,2,3,36,35,3040,2930,0.001,0.0
2025-12-14 18:59:38,4,1,8,64,716,5368,0.0,0.0
2025-12-14 18:59:38,4,2,47,24,3942,2028,0.0,0.0
2025-12-14 18:59:38,4,3,13,58,1102,4868,0.0,0.0
2025-12-14 18:59:39,1,1,8,66,716,5540,0.0,0.0
2025-12-14 18:59:39,1,2,48,23,4052,1918,0.0,0.0
2025-12-14 18:59:39,1,3,12,59,992,4978,0.0,0.0
2025-12-14 18:59:39,3,1,8,65,716,5454,0.0,0.0
2025-12-14 18:59:39,3,2,35,36,2930,3040,0.0,0.0
2025-12-14 18:59:39,3,3,24,47,2028,3942,0.0,0.0
2025-12-14 18:59:39,2,1,9,65,806,5454,0.0,0.0
2025-12-14 18:59:39,2,2,23,48,1918,4052,0.0,0.0
2025-12-14 18:59:39,2,3,36,35,3040,2930,0.0,0.0
2025-12-14 18:59:39,6,1,8,64,716,5368,0.0,0.0
2025-12-14 18:59:39,6,2,58,13,4868,1102,0.0,0.0
2025-12-14 18:59:39,4,1,8,64,716,5368,0.0,0.0
2025-12-14 18:59:39,4,2,47,24,3942,2028,0.0,0.0
2025-12-14 18:59:39,4,3,13,58,1102,4868,0.0,0.0
2025-12-14 18:59:39,5,1,8,64,716,5388,0.0,0.0
2025-12-14 18:59:39,5,2,59,12,4978,992,0.0,0.0
2025-12-14 18:59:40,1,1,8,66,716,5540,0.0,0.0
2025-12-14 18:59:40,1,2,48,23,4052,1918,0.0,0.0
2025-12-14 18:59:40,1,3,12,59,992,4978,0.0,0.0
2025-12-14 18:59:40,5,1,8,64,716,5388,0.0,0.0
2025-12-14 18:59:40,5,2,59,12,4978,992,0.0,0.0
2025-12-14 18:59:40,3,1,8,65,716,5454,0.0,0.0
2025-12-14 18:59:40,3,2,35,36,2930,3040,0.0,0.0
2025-12-14 18:59:40,3,3,24,47,2028,3942,0.0,0.0
2025-12-14 18:59:40,6,1,8,64,716,5368,0.0,0.0
2025-12-14 18:59:40,6,2,58,13,4868,1102,0.0,0.0
2025-12-14 18:59:40,4,1,8,64,716,5368,0.0,0.0
2025-12-14 18:59:40,4,2,47,24,3942,2028,0.0,0.0
2025-12-14 18:59:40,4,3,13,58,1102,4868,0.0,0.0
2025-12-14 18:59:40,2,1,9,65,806,5454,0.0,0.0
2025-12-14 18:59:40,2,2,23,48,1918,4052,0.0,0.0
2025-12-14 18:59:40,2,3,36,35,3040,2930,0.0,0.0
2025-12-14 18:59:41,1,1,8,66,716,5540,0.0,0.0
2025-12-14 18:59:41,1,2,48,23,4052,1918,0.0,0.0
2025-12-14 18:59:41,1,3,12,59,992,4978,0.0,0.0
2025-12-14 18:59:41,4,1,8,64,716,5368,0.0,0.0
2025-12-14 18:59:41,4,2,47,24,3942,2028,0.0,0.0
2025-12-14 18:59:41,4,3,13,58,1102,4868,0.0,0.0
2025-12-14 18:59:41,6,1,8,64,716,5368,0.0,0.0
2025-12-14 18:59:41,6,2,58,13,4868,1102,0.0,0.0
2025-12-14 18:59:41,5,1,8,64,716,5388,0.0,0.0
2025-12-14 18:59:41,5,2,59,12,4978,992,0.0,0.0
2025-12-14 18:59:41,3,1,8,65,716,5454,0.0,0.0
2025-12-14 18:59:41,3,2,35,36,2930,3040,0.0,0.0
2025-12-14 18:59:41,3,3,24,47,2028,3942,0.0,0.0
2025-12-14 18:59:41,2,1,9,65,806,5454,0.0,0.0
2025-12-14 18:59:41,2,2,23,48,1918,4052,0.0,0.0
2025-12-14 18:59:41,2,3,36,35,3040,2930,0.0,0.0
2025-12-14 18:59:42,1,1,8,66,716,5540,0.0,0.0
2025-12-14 18:59:42,1,2,48,23,4052,1918,0.0,0.0
2025-12-14 18:59:42,1,3,12,59,992,4978,0.0,0.0
2025-12-14 18:59:42,2,1,9,65,806,5454,0.0,0.0
2025-12-14 18:59:42,2,2,23,48,1918,4052,0.0,0.0
2025-12-14 18:59:42,2,3,36,35,3040,2930,0.0,0.0
2025-12-14 18:59:42,3,1,8,65,716,5454,0.0,0.0
2025-12-14 18:59:42,3,2,35,36,2930,3040,0.0,0.0
2025-12-14 18:59:42,3,3,24,47,2028,3942,0.0,0.0
2025-12-14 18:59:42,4,1,8,64,716,5368,0.0,0.0
2025-12-14 18:59:42,4,2,47,24,3942,2028,0.0,0.0
2025-12-14 18:59:42,4,3,13,58,1102,4868,0.0,0.0
2025-12-14 18:59:42,6,1,8,64,716,5368,0.0,0.0
2025-12-14 18:59:42,6,2,58,13,4868,1102,0.0,0.0
2025-12-14 18:59:42,5,1,8,64,716,5388,0.0,0.0
2025-12-14 18:59:42,5,2,59,12,4978,992,0.0,0.0
2025-12-14 18:59:43,1,1,8,66,716,5540,0.0,0.0
2025-12-14 18:59:43,1,2,48,23,4052,1918,0.0,0.0
2025-12-14 18:59:43,1,3,12,59,992,4978,0.0,0.0
2025-12-14 18:59:43,6,1,8,64,716,5368,0.0,0.0
2025-12-14 18:59:43,6,2,58,13,4868,1102,0.0,0.0
2025-12-14 18:59:43,2,1,9,65,806,5454,0.0,0.0
2025-12-14 18:59:43,2,2,23,48,1918,4052,0.0,0.0
2025-12-14 18:59:43,2,3,36,35,3040,2930,0.0,0.0
2025-12-14 18:59:43,5,1,8,64,716,5388,0.0,0.0
2025-12-14 18:59:43,5,2,59,12,4978,992,0.0,0.0
2025-12-14 18:59:43,4,1,8,64,716,5368,0.0,0.0
2025-12-14 18:59:43,4,2,47,24,3942,2028,0.0,0.0
2025-12-14 18:59:43,4,3,13,58,1102,4868,0.0,0.0
2025-12-14 18:59:43,3,1,8,65,716,5454,0.0,0.0
2025-12-14 18:59:43,3,2,35,36,2930,3040,0.0,0.0
2025-12-14 18:59:43,3,3,24,47,2028,3942,0.0,0.0
2025-12-14 18:59:44,1,1,8,69,716,5750,0.0,0.002
2025-12-14 18:59:44,1,2,51,24,4262,1988,0.002,0.001
2025-12-14 18:59:44,1,3,12,63,992,5258,0.0,0.002
2025-12-14 18:59:44,6,1,9,67,786,5578,0.001,0.002
2025-12-14 18:59:44,6,2,61,15,5078,1242,0.002,0.001
2025-12-14 18:59:44,3,1,9,69,786,5734,0.001,0.002
2025-12-14 18:59:44,3,2,37,39,3070,3250,0.001,0.002
2025-12-14 18:59:44,3,3,26,50,2168,4152,0.001,0.002
2025-12-14 18:59:44,4,1,8,69,716,5718,0.0,0.003
2025-12-14 18:59:44,4,2,50,26,4152,2168,0.002,0.001
2025-12-14 18:59:44,4,3,15,61,1242,5078,0.001,0.002
2025-12-14 18:59:44,5,1,8,68,716,5668,0.0,0.002
2025-12-14 18:59:44,5,2,63,12,5258,992,0.002,0.0
2025-12-14 18:59:44,2,1,9,69,806,5734,0.0,0.002
2025-12-14 18:59:44,2,2,24,51,1988,4262,0.001,0.002
2025-12-14 18:59:44,2,3,39,37,3250,3070,0.002,0.001
2025-12-14 18:59:45,1,1,9,73,786,6030,0.001,0.002
2025-12-14 18:59:45,1,2,53,27,4402,2198,0.001,0.002
2025-12-14 18:59:45,1,3,14,66,1132,5468,0.001,0.002
2025-12-14 18:59:45,4,1,8,74,716,6068,0.0,0.003
2025-12-14 18:59:45,4,2,54,26,4432,2168,0.002,0.0
2025-12-14 18:59:45,4,3,15,66,1242,5428,0.0,0.003
2025-12-14 18:59:45,5,1,9,71,786,5878,0.001,0.002
2025-12-14 18:59:45,5,2,66,14,5468,1132,0.002,0.001
2025-12-14 18:59:45,6,1,9,72,786,5928,0.0,0.003
2025-12-14 18:59:45,6,2,66,15,5428,1242,0.003,0.0
2025-12-14 18:59:45,2,1,10,73,876,6014,0.001,0.002
2025-12-14 18:59:45,2,2,27,53,2198,4402,0.002,0.001
2025-12-14 18:59:45,2,3,40,41,3320,3350,0.001,0.002
2025-12-14 18:59:45,3,1,9,73,786,6014,0.0,0.002
2025-12-14 18:59:45,3,2,41,40,3350,3320,0.002,0.001
2025-12-14 18:59:45,3,3,26,54,2168,4432,0.0,0.002
